N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879743,82.002744,6.502985,202.935536,rice
85,58,41,22.771096,73.170288,7.124282,226.656537,rice
60,55,44,26.491096,80.158258,6.507760,312.653438,rice
73,69,36,9.330000,60.972000,6.120000,306.391000,maize
91,56,40,20.667695,77.137451,6.502985,107.498843,maize
28,36,29,28.109099,92.698993,7.530000,13.820000,chickpea
46,63,40,24.340000,58.000000,7.130000,23.000000,chickpea
60,61,60,21.000000,90.000000,6.700000,77.000000,kidneybeans
52,65,78,25.580000,70.000000,6.600000,209.000000,kidneybeans
28,35,43,30.000000,35.000000,6.500000,5.000000,pigeonpeas
70,35,29,20.000000,80.000000,6.900000,170.000000,mothbeans
75,40,50,27.000000,75.000000,6.800000,120.000000,mungbean
30,45,33,29.000000,65.000000,7.000000,50.000000,blackgram
55,60,45,23.000000,90.000000,6.500000,100.000000,lentil
40,50,50,25.000000,85.000000,6.600000,120.000000,pomegranate
