N,P,K,temperature,humidity,ph,rainfall,label
90,60,40,20,65,6.5,300,wheat
85,55,38,22,70,6.4,280,wheat
95,62,42,18,60,6.6,320,wheat
88,58,39,21,68,6.5,290,wheat
90,42,43,25,80,6.5,200,rice
85,40,40,27,85,6.4,220,rice
95,45,45,24,78,6.6,210,rice
88,43,42,26,82,6.5,230,rice
80,55,40,26,70,6.3,180,maize
75,50,38,28,65,6.2,160,maize
82,58,42,27,72,6.4,190,maize
78,52,39,29,68,6.3,170,maize
70,50,35,18,60,6.2,250,barley
65,48,34,16,55,6.1,230,barley
72,52,36,19,62,6.3,260,barley
68,49,35,17,58,6.2,240,barley
60,40,30,28,55,6.0,220,millet
58,38,28,30,50,5.9,210,millet
62,42,32,27,52,6.1,230,millet
59,39,29,29,54,6.0,225,millet
25,40,30,22,55,7.0,150,chickpea
28,42,32,24,60,7.1,160,chickpea
23,38,29,21,50,6.9,140,chickpea
26,41,31,23,58,7.0,155,chickpea
30,45,35,20,60,6.8,140,lentil
32,47,36,18,55,6.7,130,lentil
28,43,34,21,62,6.9,150,lentil
31,46,35,19,58,6.8,145,lentil
35,40,30,26,65,6.8,120,pigeon_pea
38,42,32,28,68,6.9,130,pigeon_pea
33,38,29,25,62,6.7,110,pigeon_pea
36,41,31,27,66,6.8,125,pigeon_pea
30,35,25,28,70,6.7,110,green_gram
32,37,26,30,72,6.8,115,green_gram
28,33,24,27,68,6.6,105,green_gram
31,36,25,29,71,6.7,112,green_gram
28,38,28,27,75,6.7,120,black_gram
30,40,30,29,78,6.8,125,black_gram
26,36,26,26,72,6.6,115,black_gram
29,39,29,28,76,6.7,122,black_gram
60,50,50,26,75,6.5,200,tomato
62,52,52,28,78,6.4,210,tomato
58,48,48,24,72,6.6,190,tomato
61,51,51,27,76,6.5,205,tomato
80,60,70,20,80,5.8,300,potato
82,62,72,18,78,5.7,290,potato
78,58,68,19,82,5.9,310,potato
81,61,71,17,76,5.8,295,potato
50,45,40,22,65,6.4,180,onion
52,47,42,24,68,6.3,190,onion
48,43,38,21,62,6.5,170,onion
51,46,41,23,66,6.4,185,onion
55,50,45,18,75,6.5,220,cabbage
57,52,47,16,78,6.4,230,cabbage
53,48,43,19,72,6.6,210,cabbage
56,51,46,17,76,6.5,225,cabbage
60,55,50,17,70,6.4,210,cauliflower
62,57,52,15,73,6.3,220,cauliflower
58,53,48,18,68,6.5,200,cauliflower
61,56,51,16,71,6.4,215,cauliflower
40,35,30,18,80,6.8,250,spinach
42,37,32,16,82,6.7,260,spinach
38,33,28,19,78,6.9,240,spinach
41,36,31,17,81,6.8,255,spinach
45,40,35,19,70,6.5,200,carrot
47,42,37,17,68,6.4,190,carrot
43,38,33,20,72,6.6,210,carrot
46,41,36,18,69,6.5,205,carrot
55,45,45,27,75,6.6,220,brinjal
57,47,47,29,78,6.5,230,brinjal
53,43,43,25,72,6.7,210,brinjal
56,46,46,28,76,6.6,225,brinjal
50,40,40,24,70,6.5,210,capsicum
52,42,42,26,73,6.4,220,capsicum
48,38,38,23,67,6.6,200,capsicum
51,41,41,25,71,6.5,215,capsicum
70,50,50,30,75,6.5,250,mango
72,52,52,32,78,6.4,260,mango
68,48,48,29,72,6.6,240,mango
71,51,51,31,76,6.5,255,mango
80,55,60,28,85,6.4,300,banana
82,57,62,30,88,6.3,320,banana
78,53,58,27,82,6.5,290,banana
81,56,61,29,86,6.4,310,banana
65,50,45,18,70,6.5,200,apple
67,52,47,16,68,6.4,190,apple
63,48,43,19,72,6.6,210,apple
66,51,46,17,69,6.5,205,apple
60,45,40,22,75,6.2,220,orange
62,47,42,24,78,6.1,230,orange
58,43,38,21,72,6.3,210,orange
61,46,41,23,76,6.2,225,orange
55,40,40,26,80,6.3,230,papaya
57,42,42,28,83,6.2,240,papaya
53,38,38,25,77,6.4,220,papaya
56,41,41,27,81,6.3,235,papaya
50,35,35,24,65,6.6,200,pomegranate
52,37,37,26,68,6.5,210,pomegranate
48,33,33,23,62,6.7,190,pomegranate
51,36,36,25,66,6.6,205,pomegranate
60,40,45,22,70,6.4,220,grapes
62,42,47,24,73,6.3,230,grapes
58,38,43,21,67,6.5,210,grapes
61,41,46,23,71,6.4,225,grapes
55,30,30,28,60,6.2,250,watermelon
57,32,32,30,63,6.1,260,watermelon
53,28,28,27,57,6.3,240,watermelon
56,31,31,29,61,6.2,255,watermelon
50,28,28,27,55,6.3,230,muskmelon
52,30,30,29,58,6.2,240,muskmelon
48,26,26,26,52,6.4,220,muskmelon
51,29,29,28,56,6.3,235,muskmelon
45,35,30,18,65,6.1,220,mustard
47,37,32,20,68,6.0,230,mustard
43,33,28,17,62,6.2,210,mustard
46,36,31,19,66,6.1,225,mustard
55,40,45,26,70,6.3,250,groundnut
57,42,47,28,73,6.2,260,groundnut
53,38,43,25,67,6.4,240,groundnut
56,41,46,27,71,6.3,255,groundnut
60,45,50,24,75,6.4,260,soybean
62,47,52,26,78,6.3,270,soybean
58,43,48,23,72,6.5,250,soybean
61,46,51,25,76,6.4,265,soybean
50,35,40,25,65,6.5,240,sunflower
52,37,42,27,68,6.4,250,sunflower
48,33,38,24,62,6.6,230,sunflower
51,36,41,26,66,6.5,245,sunflower
